iter	Passed	Remaining
455	454321	43838
456	455644	42872
457	457625	41965
458	458995	40999
459	459422	39949
460	459679	38888
461	461451	37954
462	461760	36900
463	462244	35863
464	462826	34836
465	464401	33883
466	464794	32844
467	466192	31876
468	467287	30886
469	468464	29902
470	469323	28896
471	470559	27914
472	471703	26926
473	472925	25941
474	474351	24965
475	475576	23978
476	476747	22987
477	477864	21993
478	478575	20981
479	479722	19988
480	480077	18963
481	481322	17974
482	482302	16975
483	483492	15983
484	484916	14997
485	486152	14004
486	487073	13001
487	487399	11985
488	489167	11003
489	490772	10015
490	491987	9018
491	493305	8021
492	494909	7027
493	496337	6028
494	496915	5019
495	497477	4011
496	497810	3004
497	498401	2001
498	499652	1001
499	500521	0
