iter	F1	Logloss
125	0.8990138595	0.2495586932
126	0.8990379461	0.2490845861
127	0.899002775	0.2489389318
128	0.8991391549	0.248458234
129	0.8991307277	0.248137218
130	0.899183759	0.2478491766
131	0.8991740073	0.2474480274
132	0.8992062093	0.2471470321
133	0.8992781197	0.2464757969
134	0.899366261	0.2458851608
135	0.899407255	0.2454517986
136	0.8994053148	0.2451021894
137	0.8994023802	0.2448863095
138	0.8994056301	0.2447637465
139	0.8994069396	0.2443880214
140	0.8993731326	0.2442458801
141	0.8994001253	0.2440828678
142	0.8993731326	0.2439944858
143	0.8993906914	0.2437073119
144	0.899380315	0.243448398
145	0.8993429513	0.2430809596
146	0.8994281053	0.2428719824
147	0.8994105519	0.2427737716
148	0.8994375353	0.2425356899
149	0.8995177993	0.2422208057
150	0.8995077319	0.2419229933
151	0.8995395742	0.2416301542
152	0.8995343792	0.2409932461
153	0.8995678392	0.2407375813
154	0.8995304868	0.2404663217
155	0.8995704389	0.2402796341
156	0.8995798578	0.2401737562
157	0.8996116832	0.2398068319
158	0.8997279054	0.2396281384
159	0.8996490133	0.2394260335
160	0.8996879786	0.2390200471
161	0.8996860245	0.238837794
162	0.8997106742	0.2387866435
163	0.8997794729	0.2385691445
164	0.8997664871	0.2383938048
165	0.8997246186	0.238197597
166	0.8997466755	0.2380627556
167	0.8997693985	0.2379019372
168	0.8997271995	0.2375914336
169	0.8997512106	0.2374376109
170	0.8997813766	0.2372287856
171	0.8997862453	0.2371843846
172	0.8997846224	0.2371250829
173	0.8998258055	0.2370114338
174	0.8998160689	0.2369533431
175	0.8998656963	0.2368211596
176	0.8998702241	0.2366683918
177	0.8999019943	0.2364212215
178	0.9000187168	0.2362530538
179	0.9000903286	0.2358804714
180	0.9001256701	0.2357548195
181	0.9001554307	0.2357187368
182	0.900173277	0.2355652341
183	0.9001842765	0.2354817696
184	0.900214384	0.2353701641
185	0.9002127617	0.2353349427
186	0.9002509759	0.2352751583
187	0.9002619699	0.2351984587
188	0.9002502533	0.2348646761
189	0.9002920658	0.2347023127
190	0.9002560186	0.2346168106
191	0.9003486332	0.234468199
192	0.9003596194	0.2343623058
193	0.9003563757	0.2343239063
194	0.9003860857	0.2342466732
195	0.9004469696	0.2341246129
196	0.9004421045	0.2340562019
197	0.9004149066	0.2339756181
198	0.9004725445	0.2338976283
199	0.9004770361	0.2338362738
200	0.900523314	0.2337008582
201	0.9005087195	0.2335950984
202	0.9005054763	0.2335615049
203	0.9005087195	0.2335011234
204	0.9005087195	0.233425004
205	0.9005821803	0.2331521252
206	0.9006154724	0.2329112975
207	0.9006138509	0.2328856916
208	0.9006808054	0.2328368023
209	0.9006280629	0.2327479859
210	0.9006536241	0.2326975244
211	0.9007205705	0.2324444433
212	0.9006520026	0.2323497193
213	0.9006743194	0.2321047831
214	0.9008215563	0.2319637074
215	0.9009140257	0.2318825892
216	0.900995525	0.2316514033
217	0.9009809312	0.2316118843
218	0.9010510677	0.2315287397
219	0.9010466081	0.2313860829
220	0.9010271497	0.2313442201
221	0.9010239067	0.2312535697
222	0.9010222853	0.2312418896
223	0.9010076922	0.2312060215
224	0.9010587697	0.2310425036
225	0.9010555268	0.2310297212
226	0.9010794421	0.2308041168
227	0.9010713351	0.2307832087
228	0.9010713351	0.2307701685
229	0.9010697137	0.2307573053
230	0.9010984919	0.2307413331
231	0.9010648496	0.2306562892
232	0.9011544227	0.2305648744
233	0.9012249414	0.2304750367
234	0.901216834	0.230388206
235	0.9012326339	0.2302866105
236	0.9012772013	0.2302112314
237	0.9012532969	0.2300443509
238	0.9012662684	0.2299890279
239	0.901346085	0.2299129381
240	0.9014133425	0.2298650404
241	0.9013509495	0.229806842
242	0.9013412206	0.2296370926
243	0.9013395991	0.229627108
244	0.9013983247	0.2296226109
245	0.9013821109	0.2295753345
246	0.9014027646	0.2294969872
247	0.9015096859	0.2293036265
248	0.9015319541	0.2292635465
249	0.9015477357	0.2292209155
250	0.9015781079	0.2291648932
251	0.9015748652	0.2291531437
252	0.9015461144	0.2290345224
253	0.901584159	0.2290051345
254	0.9016671566	0.2288274586
255	0.9017035666	0.2288184238
256	0.9017659117	0.2287308419
257	0.9017132943	0.2286502805
258	0.9017230221	0.2285717584
259	0.9017659117	0.228512733
260	0.9017626691	0.2284971066
261	0.9018217664	0.2284117521
262	0.9019112133	0.2283409459
263	0.9018331158	0.2283330497
264	0.9018905868	0.2282858441
265	0.901895451	0.2282194258
266	0.9019480524	0.2280688692
267	0.9020645895	0.2280134613
268	0.9020900721	0.2279154966
269	0.902247804	0.2278054727
270	0.9022667911	0.2277321083
271	0.9022482747	0.2276142429
272	0.9022976008	0.2275395241
273	0.9022976008	0.227534326
274	0.9023214511	0.2274119315
275	0.9023214511	0.227399874
276	0.9023837423	0.2272732435
277	0.9023772557	0.2272308
278	0.9024536551	0.2271982254
279	0.9024471685	0.2271924469
280	0.902429331	0.2271905691
281	0.902488365	0.2271274211
282	0.902501338	0.227015309
283	0.9024856055	0.2269975365
284	0.9024666285	0.2268867553
285	0.902533123	0.2267861421
286	0.902531501	0.2267818122
287	0.9025217696	0.2267802626
288	0.9025201477	0.2267702552
289	0.9025169039	0.2267645131
290	0.9025645866	0.2266857833
291	0.9025884259	0.2266092452
292	0.9026419508	0.2264580901
293	0.902673899	0.226405356
294	0.9026944913	0.2263715852
295	0.9026164895	0.2263235325
296	0.9026435728	0.2262792272
297	0.9027204452	0.2262201808
298	0.9027107124	0.2262190359
299	0.9027459025	0.2261417566
300	0.9027459025	0.2261101743
301	0.9028206441	0.2260175651
302	0.9029343074	0.2259425342
303	0.9029440414	0.2258854934
304	0.9029489085	0.2258561436
305	0.9030398498	0.2257592853
306	0.9030928759	0.2256667882
307	0.9031664758	0.2256106113
308	0.9031534951	0.2255918622
309	0.9032254676	0.2254462848
310	0.9033050207	0.2253659891
311	0.9033050207	0.2252870263
312	0.9033082661	0.2251825657
313	0.9033017754	0.2251818086
314	0.9033385674	0.2250862247
315	0.9033575086	0.2250855145
316	0.9034386643	0.225029706
317	0.9034386643	0.2250242103
318	0.9034181046	0.2249654818
319	0.9034245955	0.2249256181
320	0.9035344129	0.2248103358
321	0.9035344129	0.2247679587
322	0.903526299	0.2247460588
323	0.903526299	0.2247252558
324	0.9036263582	0.2247234417
325	0.9035944488	0.2246599295
326	0.9035944488	0.2246579233
327	0.9036712489	0.2245592578
328	0.9037015333	0.2245172047
329	0.9036917963	0.2245167232
330	0.9037220792	0.2244710049
331	0.9037220792	0.2244685173
332	0.9037523609	0.2244031585
333	0.9037442467	0.2244025008
334	0.9038237237	0.2243439479
335	0.903793446	0.224336366
336	0.9039383297	0.2242775811
337	0.9039783385	0.2241881113
338	0.9039929454	0.2240925597
339	0.9040405002	0.2239927934
340	0.9040372542	0.2239254
341	0.9041999404	0.2237995335
342	0.904255592	0.2237759827
343	0.9043782419	0.2237308769
344	0.9043625964	0.2236661153
345	0.9043674663	0.2236275291
346	0.9043674663	0.2236112933
347	0.9044220717	0.2235036421
348	0.9044236951	0.2235002214
349	0.9044906959	0.223437884
350	0.9046295541	0.2232769648
351	0.9047111543	0.2232225026
352	0.9047349038	0.2232176263
353	0.9047921411	0.2231706859
354	0.9047856461	0.2231704057
355	0.90480026	0.2231129037
356	0.9048542446	0.2230580525
357	0.9048451151	0.222989194
358	0.9048451151	0.2229866719
359	0.9049153364	0.2229300763
360	0.9049137124	0.2228860042
361	0.9050050418	0.2227464746
362	0.9050369008	0.2227175984
363	0.9050450214	0.2226834204
364	0.9051119843	0.2225822742
365	0.9051038634	0.2225195821
366	0.9051006151	0.2225194866
367	0.9050957426	0.2225045265
368	0.9050957426	0.222455023
369	0.9050941185	0.2224548539
370	0.9050957426	0.2224059446
371	0.9051627003	0.2223492823
372	0.9051357188	0.2223450951
373	0.9051405914	0.222333943
374	0.9052134108	0.2222884945
375	0.9052803585	0.2222354965
376	0.9052787342	0.2221901988
377	0.9053040848	0.2221677042
378	0.9053742738	0.2221036127
379	0.9053775225	0.2221013325
380	0.9053775225	0.2221013325
381	0.9054158642	0.2220421272
382	0.9055211365	0.2219935139
383	0.905595532	0.2219925947
384	0.9056257429	0.2219143361
385	0.9056803216	0.2218132112
386	0.9056247743	0.2218064748
387	0.9056199004	0.2218055361
388	0.9056075588	0.221772016
389	0.9056091834	0.22176075
390	0.9057095662	0.2217038815
391	0.9057176901	0.2216636259
392	0.9057943556	0.2215845614
393	0.9059385983	0.2214833727
394	0.9059353481	0.2214782058
395	0.9059067683	0.2214722406
396	0.9059678517	0.2214272053
397	0.9060403143	0.2212991253
398	0.9061348553	0.2212011298
399	0.9061062784	0.2211985822
400	0.9061991951	0.2211251084
401	0.9062228925	0.2211235273
402	0.906212201	0.2210593671
403	0.9062440272	0.2209998887
404	0.9062489046	0.2209583312
405	0.906253782	0.2209566059
406	0.9062619112	0.2209253546
407	0.9063158052	0.2208924168
408	0.9063761975	0.2208581
409	0.9063761975	0.2208580984
410	0.9063745716	0.2208580969
411	0.9063973347	0.2208007706
412	0.9063785209	0.2207996755
413	0.9064005867	0.2207995986
414	0.9065318197	0.2206553578
415	0.9065318197	0.2206538107
416	0.9065301935	0.2206519272
417	0.9065652633	0.2206158466
418	0.906625642	0.2205537201
419	0.9066272683	0.2205522889
420	0.9067805388	0.2204327996
421	0.9067821653	0.2203978456
422	0.9067837918	0.2203901831
423	0.90680331	0.2203436884
424	0.9068342157	0.2203095782
425	0.9068521093	0.2202384657
426	0.9068521093	0.2202382734
427	0.9068667502	0.2201837689
428	0.9069735666	0.2201244256
429	0.9070413265	0.2201021475
430	0.9070575956	0.2200693719
431	0.9072458879	0.2199700492
432	0.9072442607	0.2199331341
433	0.9072809399	0.2198784322
434	0.9072793127	0.2198779953
435	0.907272804	0.2198778094
436	0.9073542953	0.2197543022
437	0.9073257544	0.2196797659
438	0.907352668	0.2196795892
439	0.9073925988	0.2196400618
440	0.907501753	0.2195282194
441	0.9075073953	0.2194618227
442	0.9075840022	0.2193970677
443	0.9075840022	0.2193970036
444	0.9075823745	0.2193897809
445	0.9075774912	0.2193890443
446	0.907609282	0.2193165947
447	0.9076141653	0.2193160618
448	0.9076426993	0.2192885671
449	0.9076443272	0.219255821
450	0.9076679764	0.2192490063
451	0.9076426993	0.2192487842
452	0.907645955	0.2192393184
453	0.907645955	0.2192393117
454	0.9076443272	0.2192381967
455	0.9076443272	0.2192381965
456	0.9076972778	0.2191562155
457	0.9078024046	0.2191116911
458	0.9078692275	0.2190657743
459	0.9078692275	0.2190647204
460	0.9078692275	0.2190647199
461	0.9079246489	0.2190093988
462	0.9079230208	0.2190092547
463	0.9079246489	0.2190085944
464	0.907926277	0.2190018663
465	0.907977594	0.2189400471
466	0.9079792222	0.2189119244
467	0.9080305397	0.2188509544
468	0.9080403096	0.2188044437
469	0.908046823	0.2187875997
470	0.9081022347	0.2187861682
471	0.9081103768	0.2187288009
472	0.9081282897	0.218671026
473	0.9081331752	0.2186392906
474	0.9082284977	0.2185812021
475	0.908287154	0.2185457934
476	0.9082521265	0.218510618
477	0.9082716698	0.2184543515
478	0.9082651552	0.2184510743
479	0.9083954876	0.2183857225
480	0.9083987451	0.2183850875
481	0.9084288821	0.2183464507
482	0.9084239959	0.2183431865
483	0.9084476165	0.2183247615
484	0.9085241721	0.218282502
485	0.9085046261	0.2182113883
486	0.9086113178	0.2181829808
487	0.9086096888	0.2181827911
488	0.908636562	0.2181658652
489	0.9086495947	0.2181237361
490	0.9086683212	0.2181199193
491	0.9087065957	0.2181092783
492	0.9086724029	0.2180472022
493	0.9087326627	0.218007328
494	0.9087261458	0.2180044496
495	0.9087497569	0.2180034918
496	0.9087497569	0.2180027815
497	0.9087212582	0.2179835835
498	0.9087676785	0.2179673538
499	0.9087676785	0.2179658381
